id,company_id,title,years_of_experience,description,responsibilities,education_id,skills_requirement
21,5,Cloud Security Engineer,4-6,Ensure the security of cloud systems and data.,"Implement security measures, monitor threats, and conduct audits.",8,"[64, 65, 66, 56, 4]"
22,5,Product Manager,5-7,Oversee product development and ensure successful launches.,"Define roadmaps, allocate resources, and manage cross-functional teams.",18,"[28, 29, 214, 68, 4]"
23,5,UI/UX Designer,3-5,Design user-friendly interfaces and improve user experience.,"Create wireframes, prototype designs, and collaborate with developers.",19,"[69, 70, 71, 72, 4]"
24,6,Software Developer,3-5,Develop and maintain software applications.,"Write clean code, troubleshoot issues, and ensure system performance.",20,"[49, 96, 74, 56, 4]"
25,6,Full Stack Developer,4-6,Develop and manage full-stack applications.,"Create front-end and back-end solutions, debug issues, and optimize systems.",20,"[90, 76, 110, 49, 57]"
26,6,DevOps Engineer,4-7,Build and maintain CI/CD pipelines.,"Automate deployment processes, manage cloud systems, and ensure scalability.",8,"[61, 64, 99, 78, 56]"
27,6,Database Administrator,3-5,Manage and optimize database systems.,"Ensure data security, monitor performance, and handle migrations.",8,"[57, 79, 65, 80, 247]"
28,6,Technical Support Engineer,2-4,Provide technical assistance to clients.,"Troubleshoot issues, document solutions, and ensure customer satisfaction.",21,"[223, 4, 56, 172, 84]"
29,6,Product Manager,5-7,Oversee product development lifecycle.,"Define roadmaps, coordinate teams, and manage product releases.",18,"[28, 29, 214, 4, 68]"
30,6,UI/UX Designer,3-5,Design intuitive user interfaces and enhance user experience.,"Create wireframes, prototype designs, and collaborate with developers.",19,"[69, 70, 71, 72, 4]"
31,6,Cloud Solutions Architect,5-8,Design and oversee cloud solutions.,"Develop cloud strategies, optimize costs, and ensure scalability.",22,"[64, 80, 65, 4, 214]"
32,6,Cybersecurity Analyst,3-5,Secure IT systems and monitor for cyber threats.,"Conduct audits, implement security measures, and monitor systems.",23,"[85, 66, 86, 4, 56]"
33,7,Data Scientist,3-6,Analyze and interpret complex data to provide insights.,"Build predictive models, analyze trends, and present findings.",13,"[49, 87, 14, 50, 51]"
34,7,AI Engineer,4-7,Design and deploy AI solutions.,"Develop algorithms, optimize models, and integrate AI into business processes.",14,"[213, 130, 49, 101, 54]"
35,7,Business Analyst,3-5,Analyze business data to identify trends and strategies.,"Monitor KPIs, prepare reports, and recommend process improvements.",15,"[14, 55, 4, 56, 1]"
36,7,Machine Learning Engineer,4-6,Develop and implement machine learning models.,"Train models, optimize algorithms, and integrate solutions into systems.",14,"[87, 49, 130, 56, 4]"
37,7,Data Engineer,3-5,Design and maintain scalable data pipelines.,"Develop ETL processes, ensure data quality, and optimize databases.",17,"[57, 49, 58, 64, 60]"
38,7,DevOps Engineer,4-6,Manage and optimize DevOps workflows.,"Automate deployment processes, manage CI/CD pipelines, and monitor system performance.",8,"[61, 99, 64, 63, 4]"
39,7,Cloud Security Engineer,4-6,Ensure the security of cloud systems and data.,"Implement security measures, monitor threats, and conduct audits.",8,"[64, 65, 66, 56, 4]"
40,7,Product Manager,5-7,Oversee product development and ensure successful launches.,"Define roadmaps, allocate resources, and manage cross-functional teams.",18,"[28, 29, 214, 68, 4]"
41,7,UI/UX Designer,3-5,Design user-friendly interfaces and improve user experience.,"Create wireframes, prototype designs, and collaborate with developers.",19,"[69, 70, 71, 72, 4]"
42,8,Full Stack Developer,4-6,Develop and maintain full-stack applications.,"Work on both front-end and back-end components, debug systems, and optimize performance.",20,"[90, 76, 110, 49, 57]"
43,8,Frontend Developer,3-5,Design and develop user interfaces for web applications.,"Create dynamic web pages, optimize usability, and ensure cross-browser compatibility.",20,"[244, 89, 90, 76, 4]"
44,8,Backend Developer,3-5,Develop and maintain the server-side logic of applications.,"Ensure efficient database management, optimize APIs, and maintain scalability.",8,"[49, 96, 57, 91, 56]"
45,8,DevOps Engineer,4-7,Manage and streamline DevOps processes.,"Develop CI/CD pipelines, automate deployments, and monitor infrastructure.",8,"[61, 99, 63, 64, 4]"
46,8,Product Manager,5-8,Lead product development and manage cross-functional teams.,"Define product roadmaps, ensure deadlines, and optimize resource allocation.",24,"[28, 214, 4, 92, 68]"
47,8,Technical Support Specialist,2-4,Provide technical support to customers and resolve issues efficiently.,"Troubleshoot technical problems, document solutions, and assist clients.",21,"[223, 4, 56, 172, 247]"
48,8,Cloud Security Engineer,4-6,Ensure the security of cloud-based systems and services.,"Implement security protocols, monitor threats, and conduct vulnerability assessments.",23,"[93, 86, 66, 4, 56]"
49,8,Machine Learning Engineer,3-6,Develop and deploy machine learning models.,"Design algorithms, train models, and optimize performance for scalable systems.",14,"[49, 130, 87, 14, 4]"
50,8,UI/UX Designer,3-5,Design user interfaces and improve user experiences.,"Create wireframes, collaborate with teams, and conduct usability testing.",19,"[69, 70, 94, 4, 72]"
51,9,Data Analyst,3-5,Analyze data to uncover insights and support decision-making.,"Prepare data reports, monitor trends, and create dashboards.",25,"[57, 1, 95, 49, 4]"
52,9,Machine Learning Engineer,3-6,Develop and deploy machine learning models for business applications.,"Build algorithms, optimize models, and integrate solutions.",14,"[49, 130, 87, 50, 56]"
53,9,Software Developer,3-5,Design and maintain software applications.,"Develop code, fix bugs, and optimize systems.",20,"[96, 49, 74, 56, 4]"
54,9,Cloud Architect,5-7,Design and manage cloud solutions for scalable business applications.,"Plan architecture, implement cloud strategies, and ensure cost efficiency.",22,"[64, 97, 65, 4, 80]"
55,9,DevOps Specialist,3-6,Streamline development processes and manage deployments.,"Develop CI/CD pipelines, automate tasks, and monitor system performance.",8,"[61, 99, 63, 64, 4]"
56,9,Cybersecurity Analyst,3-5,Secure IT systems against cyber threats and vulnerabilities.,"Conduct audits, monitor systems, and implement security protocols.",23,"[85, 66, 86, 56, 4]"
57,9,Product Manager,5-7,Oversee product development and ensure timely delivery.,"Define product strategies, manage resources, and collaborate with teams.",26,"[28, 214, 68, 4, 29]"
58,9,Frontend Developer,2-4,Design and implement user interfaces for web applications.,"Create dynamic front-end systems, ensure usability, and optimize performance.",20,"[244, 89, 90, 76, 4]"
59,9,Backend Developer,3-5,Develop server-side logic and manage databases.,"Create and optimize APIs, manage server infrastructure, and ensure scalability.",8,"[57, 91, 49, 96, 56]"
60,10,Data Scientist,3-6,Analyze data and develop predictive models.,"Build algorithms, clean data, and communicate findings.",27,"[49, 87, 14, 57, 4]"
61,10,AI Researcher,5-7,Research and innovate in AI technologies.,"Develop new models, publish research papers, and collaborate with teams.",28,"[49, 130, 87, 98, 33]"
62,10,Cloud Solutions Architect,4-7,Design scalable cloud solutions for businesses.,"Oversee architecture, ensure cost optimization, and guide teams.",22,"[64, 97, 65, 4, 80]"
63,10,Product Manager,5-8,Oversee product lifecycle from concept to launch.,"Define strategies, allocate resources, and manage cross-functional teams.",24,"[28, 29, 214, 68, 4]"
64,10,DevOps Engineer,3-6,Manage CI/CD pipelines and optimize infrastructure.,"Automate deployment processes, monitor systems, and ensure scalability.",8,"[61, 99, 64, 63, 56]"
65,10,Cybersecurity Analyst,3-5,Monitor and secure IT systems against threats.,"Conduct audits, implement security protocols, and monitor activity.",23,"[85, 66, 86, 4, 56]"
66,10,Frontend Developer,2-4,Create and enhance user-facing interfaces for applications.,"Design UI components, ensure responsiveness, and optimize user experience.",20,"[244, 89, 90, 76, 4]"
67,10,Backend Developer,3-5,Develop server-side functionalities for applications.,"Manage databases, optimize server logic, and integrate APIs.",8,"[57, 91, 49, 96, 56]"
68,10,UI/UX Designer,3-5,Enhance user interfaces and improve overall experience.,"Design wireframes, prototype designs, and conduct usability testing.",19,"[69, 70, 94, 72, 4]"
69,11,Data Scientist,3-6,Analyze data and develop models to support business decisions.,"Build algorithms, prepare reports, and communicate insights to stakeholders.",13,"[49, 87, 57, 95, 50]"
70,11,Software Engineer,3-5,"Design, develop, and maintain software systems.","Write clean code, optimize systems, and troubleshoot issues.",20,"[96, 49, 29, 56, 4]"
71,11,DevOps Specialist,4-6,Implement and optimize DevOps practices.,"Develop CI/CD pipelines, automate workflows, and monitor system performance.",8,"[99, 64, 63, 4, 56]"
72,11,Cybersecurity Analyst,3-5,Secure systems against cyber threats and vulnerabilities.,"Monitor security, conduct audits, and implement protective measures.",23,"[85, 66, 86, 4, 100]"
73,11,Product Manager,5-7,Lead product development and manage teams.,"Define roadmaps, allocate resources, and ensure timely delivery.",24,"[28, 214, 29, 68, 4]"
74,11,Machine Learning Engineer,3-6,Design and deploy machine learning solutions.,"Develop models, optimize algorithms, and integrate with systems.",14,"[87, 130, 49, 14, 4]"
75,11,Data Engineer,3-5,Build and maintain data pipelines and infrastructure.,"Develop ETL processes, ensure data integrity, and optimize databases.",8,"[57, 49, 58, 60, 64]"
76,11,Frontend Developer,2-4,Create user-facing components for web applications.,"Design interfaces, ensure responsiveness, and enhance user experience.",20,"[244, 89, 90, 76, 72]"
77,11,Backend Developer,3-5,Develop server-side logic and database structures.,"Manage server infrastructure, integrate APIs, and ensure scalability.",8,"[57, 49, 96, 91, 56]"
78,12,Cloud Architect,5-7,Design and manage cloud-based systems for scalability and efficiency.,"Plan architecture, optimize cloud services, and ensure cost-effectiveness.",22,"[64, 97, 80, 4, 65]"
79,12,Data Analyst,3-5,Analyze and interpret data to support decision-making processes.,"Prepare reports, create visualizations, and monitor KPIs.",25,"[57, 1, 95, 49, 4]"
80,12,Machine Learning Engineer,4-6,Develop and deploy machine learning models for predictive analysis.,"Design algorithms, train models, and integrate solutions into applications.",14,"[49, 130, 87, 50, 4]"
81,12,Software Developer,3-5,Develop and maintain software solutions.,"Write code, optimize performance, and fix bugs.",20,"[96, 49, 74, 56, 4]"
82,12,Product Manager,5-7,Lead product development teams and ensure timely deliveries.,"Define strategies, allocate resources, and manage timelines.",24,"[28, 214, 68, 4, 29]"
83,12,UI/UX Designer,3-5,Design and enhance user interfaces for better usability.,"Create prototypes, collaborate with developers, and conduct user testing.",19,"[69, 70, 71, 72, 4]"
84,12,DevOps Engineer,4-6,Streamline software development and deployment processes.,"Manage CI/CD pipelines, automate workflows, and monitor infrastructure.",8,"[61, 99, 64, 63, 4]"
85,12,Cybersecurity Analyst,3-5,Ensure the security of IT systems against cyber threats.,"Conduct vulnerability assessments, monitor systems, and implement security measures.",23,"[85, 66, 86, 4, 100]"
86,12,Backend Developer,3-5,Develop server-side applications and manage databases.,"Design APIs, optimize queries, and ensure scalability.",8,"[57, 91, 49, 96, 56]"
87,13,Frontend Developer,3-5,Design and develop user-facing web components.,"Create responsive designs, optimize performance, and ensure cross-browser compatibility.",20,"[244, 89, 90, 76, 4]"
88,13,Backend Developer,4-6,Develop and maintain server-side applications.,"Design APIs, manage databases, and ensure scalability.",8,"[57, 91, 49, 96, 56]"
89,13,DevOps Engineer,4-7,Streamline CI/CD pipelines and manage cloud infrastructure.,"Automate deployments, monitor systems, and optimize workflows.",8,"[61, 99, 64, 63, 56]"
90,13,Cybersecurity Engineer,3-6,Ensure the security of IT infrastructure.,"Monitor threats, conduct audits, and implement security measures.",23,"[85, 66, 86, 100, 4]"
91,13,Machine Learning Engineer,4-6,Develop and deploy machine learning solutions.,"Train models, design algorithms, and integrate systems.",14,"[49, 130, 87, 14, 4]"
92,13,Product Manager,5-8,Oversee product development and ensure successful releases.,"Define strategies, manage teams, and communicate with stakeholders.",24,"[28, 214, 29, 68, 4]"
93,13,Data Scientist,3-6,Analyze data to uncover insights and support decision-making.,"Build predictive models, clean data, and communicate findings.",13,"[49, 87, 57, 95, 50]"
94,13,Cloud Solutions Architect,5-7,Design scalable cloud solutions for businesses.,"Plan architecture, optimize services, and ensure security compliance.",22,"[64, 97, 80, 65, 4]"
95,13,UI/UX Designer,3-5,Enhance user experiences and design intuitive interfaces.,"Create prototypes, conduct testing, and collaborate with developers.",19,"[69, 70, 94, 4, 72]"
96,14,AI Research Scientist,4-7,Lead AI research projects focused on natural language understanding.,"Develop algorithms, publish research papers, collaborate with product teams.",29,"[101, 49, 102, 130, 98]"
97,14,DevOps Engineer,3-5,Streamline CI/CD processes and ensure scalable deployments.,"Automate pipelines, monitor systems, troubleshoot issues.",20,"[169, 104, 105, 106, 99]"
98,14,Data Visualization Specialist,2-4,Create compelling visual narratives from complex datasets.,"Design dashboards, collaborate with stakeholders, improve accessibility.",17,"[107, 108, 109, 49, 57]"
99,14,Backend Developer,3-6,Develop and maintain server-side logic and APIs.,"Write clean code, optimize performance, ensure data security.",20,"[110, 57, 111, 112, 113]"
100,15,Mechanical Design Engineer,4-6,Design innovative mechanical systems for industrial applications.,"Develop prototypes, analyze designs, improve efficiency.",30,"[114, 115, 94, 27, 4]"
101,15,Industrial Automation Specialist,3-5,Optimize manufacturing processes using automation technologies.,"Develop solutions, test systems, provide training.",31,"[116, 117, 49, 118, 284]"
102,15,Quality Assurance Manager,5-8,Ensure high-quality standards in product manufacturing.,"Develop QA protocols, manage inspections, report compliance.",32,"[259, 120, 121, 214, 122]"
103,15,Control Systems Engineer,4-7,Design and implement control systems for automation.,"Create system diagrams, code PLCs, test integrations.",33,"[123, 34, 124, 256, 27]"
104,16,Data Engineer,3-5,Build and optimize data pipelines.,"Develop ETL processes, ensure data integrity, and maintain databases.",34,"[57, 49, 58, 64, 60]"
105,16,Machine Learning Engineer,4-6,Develop and deploy machine learning solutions.,"Design algorithms, train models, and integrate systems.",14,"[49, 130, 87, 14, 4]"
106,16,Product Manager,5-7,Lead product development and ensure timely delivery.,"Define strategies, allocate resources, and manage cross-functional teams.",26,"[28, 214, 29, 4, 68]"
107,16,DevOps Engineer,4-6,Manage CI/CD pipelines and automate workflows.,"Optimize infrastructure, ensure scalability, and monitor systems.",8,"[61, 99, 64, 63, 56]"
108,16,Cybersecurity Analyst,3-5,Secure systems against cyber threats.,"Monitor vulnerabilities, conduct audits, and implement security measures.",23,"[85, 66, 86, 4, 100]"
109,16,Cloud Architect,5-8,Design scalable cloud solutions for businesses.,"Optimize cloud platforms, ensure cost efficiency, and guide teams.",22,"[64, 97, 80, 65, 4]"
110,16,Software Developer,3-5,Design and maintain software applications.,"Write code, fix bugs, and optimize performance.",20,"[96, 49, 74, 56, 4]"
111,16,Data Scientist,3-6,Analyze data and build predictive models.,"Prepare datasets, develop algorithms, and generate insights.",27,"[49, 87, 57, 95, 50]"
112,16,UI/UX Designer,3-5,Enhance user experience through intuitive interface design.,"Create wireframes, conduct usability testing, and collaborate with developers.",19,"[69, 70, 94, 72, 4]"
113,17,Frontend Developer,3-5,Design and develop user-friendly web interfaces.,"Build responsive layouts, optimize performance, and ensure cross-browser compatibility.",20,"[244, 89, 90, 76, 4]"
114,17,Backend Developer,4-6,Develop and maintain server-side applications.,"Design APIs, manage databases, and ensure system scalability.",8,"[57, 91, 49, 96, 56]"
115,17,DevOps Specialist,3-6,Implement and manage CI/CD pipelines and cloud infrastructure.,"Automate workflows, monitor systems, and enhance deployment efficiency.",8,"[61, 99, 64, 63, 4]"
116,17,Machine Learning Engineer,4-6,Develop and deploy machine learning algorithms.,"Design models, optimize performance, and integrate ML systems.",14,"[49, 130, 87, 14, 4]"
117,17,Data Scientist,3-6,Analyze and interpret data to uncover insights.,"Develop predictive models, clean datasets, and create visualizations.",27,"[49, 87, 57, 95, 50]"
118,17,Product Manager,5-8,Lead product teams to deliver high-quality solutions.,"Define roadmaps, manage resources, and communicate with stakeholders.",24,"[28, 214, 29, 68, 4]"
119,17,Cybersecurity Analyst,3-5,Ensure the security of IT systems and networks.,"Conduct threat analysis, implement security measures, and monitor activity.",23,"[85, 86, 66, 100, 4]"
120,17,Cloud Engineer,3-5,Manage and optimize cloud-based systems.,"Implement cloud solutions, monitor performance, and ensure data security.",35,"[64, 80, 65, 4, 56]"
121,17,UI/UX Designer,3-5,Design intuitive user interfaces to enhance user experiences.,"Create prototypes, conduct usability tests, and collaborate with developers.",19,"[69, 94, 70, 72, 4]"
122,18,AI Ethics Researcher,4-7,Research ethical considerations in AI development.,"Conduct studies, draft reports, present findings to stakeholders.",36,"[125, 98, 220, 263, 4]"
123,18,Data Strategy Consultant,3-5,Advise organizations on data-driven decision-making.,"Develop strategies, present data solutions, monitor implementations.",37,"[128, 268, 108, 49, 26]"
124,18,Machine Learning Engineer,3-6,Develop and optimize machine learning algorithms.,"Build models, analyze performance, refine approaches.",14,"[130, 49, 131, 14, 118]"
125,18,Technical Writer,2-4,Produce technical documentation for AI solutions.,"Draft manuals, collaborate with engineers, update documentation.",38,"[132, 84, 4, 121, 133]"
126,19,Robotics Engineer,5-7,Develop and implement robotic systems for automation.,"Design systems, oversee manufacturing, troubleshoot issues.",39,"[134, 256, 63, 26, 27]"
127,19,Electrical Engineer,4-6,Design electrical systems for robotics applications.,"Develop circuit designs, test prototypes, ensure compliance.",31,"[135, 140, 27, 117, 4]"
128,19,Software Engineer - Robotics,3-5,Develop software for robotic systems and AI integration.,"Write code, test software, collaborate with hardware teams.",20,"[49, 136, 137, 138, 139]"
129,19,Automation Tester,2-4,Test and validate automation systems for performance.,"Create test cases, run simulations, document results.",40,"[140, 139, 63, 84, 141]"
130,20,Business Development Manager,5-7,Lead initiatives to expand business opportunities.,"Develop strategies, engage stakeholders, drive revenue.",24,"[142, 179, 4, 68, 214]"
131,20,Customer Success Manager,3-5,Ensure client satisfaction and retention through excellent service.,"Engage with clients, solve issues, coordinate with teams.",41,"[144, 4, 27, 118, 145]"
132,20,Operations Manager,4-7,Oversee daily operations and ensure efficiency.,"Manage teams, optimize processes, track KPIs.",42,"[146, 26, 147, 4, 141]"
133,20,Data Analyst,3-5,Analyze business data to uncover insights and trends.,"Prepare reports, collaborate with departments, present findings.",17,"[14, 57, 1, 4, 51]"
134,21,Human Resources Specialist,2-5,"Manage HR operations, including recruitment and payroll.","Oversee hiring, manage employee records, ensure compliance.",43,"[148, 239, 4, 150, 118]"
135,21,Learning and Development Manager,4-7,Develop training programs for employee growth.,"Analyze needs, create content, deliver sessions.",44,"[151, 4, 214, 152, 284]"
136,21,HR Data Analyst,3-5,Analyze HR data to improve operations and decision-making.,"Create reports, monitor KPIs, suggest improvements.",45,"[153, 1, 57, 4, 27]"
137,21,Recruiter,2-4,Find and onboard top talent for the company.,"Source candidates, conduct interviews, manage offers.",43,"[148, 4, 216, 155, 145]"
138,22,Web Developer,3-5,Develop and maintain websites for clients.,"Write code, test functionality, ensure responsiveness.",20,"[244, 89, 90, 156, 139]"
139,22,Graphic Designer,2-5,Create visual designs for branding and campaigns.,"Design assets, collaborate with teams, manage revisions.",46,"[276, 158, 72, 159, 160]"
140,22,SEO Specialist,3-6,Optimize web content to improve search rankings.,"Conduct keyword research, monitor performance, suggest changes.",47,"[209, 162, 163, 4, 98]"
141,22,Content Creator,2-4,Develop engaging content for social media and websites.,"Draft posts, create videos, analyze engagement.",48,"[164, 165, 166, 72, 284]"
142,23,Cybersecurity Analyst,3-5,Protect IT systems against threats and vulnerabilities.,"Monitor systems, investigate incidents, implement defenses.",49,"[167, 172, 27, 4, 66]"
143,23,Cloud Solutions Architect,5-8,Design and implement cloud-based systems for clients.,"Develop solutions, manage deployments, ensure scalability.",9,"[168, 169, 170, 171, 214]"
144,23,Network Engineer,4-6,Ensure reliable network connectivity and performance.,"Monitor networks, troubleshoot issues, optimize systems.",8,"[172, 247, 4, 27, 173]"
145,23,Data Center Technician,2-4,Manage hardware in data centers for optimal performance.,"Install equipment, monitor servers, conduct repairs.",50,"[174, 4, 247, 118, 121]"
146,24,AI Product Manager,5-7,Oversee AI product development lifecycle.,"Define requirements, coordinate teams, ensure product delivery.",51,"[28, 175, 26, 29, 4]"
147,24,Machine Learning Researcher,4-7,Conduct cutting-edge AI research and development.,"Develop models, write research papers, collaborate globally.",16,"[130, 49, 98, 101, 54]"
148,24,Data Engineer,3-6,Build data pipelines and systems for AI applications.,"Develop ETL processes, ensure data integrity, manage databases.",20,"[57, 49, 176, 60, 4]"
149,24,AI Trainer,2-4,Label and preprocess data for AI models.,"Annotate datasets, refine preprocessing steps, collaborate with engineers.",50,"[177, 4, 178, 118, 49]"
150,25,Sales Engineer,4-6,Support technical sales by providing engineering insights.,"Engage clients, present solutions, assist with implementation.",52,"[179, 180, 4, 27, 145]"
151,25,Customer Support Specialist,2-5,Resolve customer issues and ensure satisfaction.,"Handle queries, troubleshoot problems, provide training.",50,"[181, 4, 247, 145, 182]"
152,25,Technical Project Manager,4-7,Lead technical projects to successful delivery.,"Define scopes, manage timelines, coordinate teams.",53,"[183, 29, 214, 184, 4]"
153,25,Software Developer,3-6,Develop and maintain software applications.,"Write clean code, test applications, ensure scalability.",20,"[96, 49, 27, 118, 139]"
154,26,Financial Analyst,2-4,Analyze financial data and trends to inform investment decisions.,"Develop financial models, monitor market trends, and prepare investment reports.",0,"[185, 1, 57, 2, 86]"
155,26,Risk Manager,5-7,Manage and mitigate financial risks within the organization.,"Conduct risk assessments, design risk mitigation strategies, and oversee implementation.",54,"[186, 187, 49, 150, 188]"
156,26,Portfolio Manager,6-10,Oversee investment portfolios to maximize returns while managing risks.,"Monitor and adjust portfolios, develop investment strategies, and interact with clients.",55,"[189, 14, 190, 11, 214]"
157,27,Sustainability Analyst,3-5,Analyze and promote sustainable investment opportunities.,"Research eco-friendly projects, evaluate ESG criteria, and create sustainability reports.",56,"[191, 98, 4, 183, 192]"
158,27,Investment Strategist,4-6,Develop and implement innovative investment strategies.,"Identify investment trends, create forecasts, and manage client portfolios.",57,"[193, 11, 2, 186, 4]"
159,28,Aerospace Engineer,3-5,Design and develop aerospace systems and technologies.,"Create blueprints, analyze performance data, and collaborate with manufacturing teams.",58,"[194, 195, 196, 56, 183]"
160,28,Quality Assurance Specialist,2-4,Ensure compliance with quality standards in aerospace manufacturing.,"Conduct inspections, test systems, and report on quality metrics.",59,"[197, 140, 150, 84, 121]"
161,28,R&D Scientist,5-7,Research and innovate new aerospace materials and systems.,"Lead R&D projects, test prototypes, and publish findings.",60,"[198, 33, 199, 4, 14]"
162,29,Healthcare Data Scientist,3-6,Analyze healthcare data to drive better patient outcomes.,"Build predictive models, visualize data, and provide actionable insights.",7,"[35, 49, 87, 36, 51]"
163,29,Clinical Project Manager,5-8,Oversee clinical research projects and ensure timely delivery.,"Plan and execute trials, manage resources, and report on progress.",61,"[183, 200, 26, 4, 86]"
164,29,Medical Device Engineer,2-5,Design and optimize medical devices for healthcare applications.,"Create designs, test devices, and ensure regulatory compliance.",62,"[201, 256, 202, 140, 56]"
165,30,Logistics Manager,4-7,Manage logistics and ensure efficient transportation operations.,"Plan routes, oversee schedules, and ensure cost-effective solutions.",63,"[203, 204, 4, 14, 80]"
166,31,Software Engineer,3-5,Develop and maintain software systems.,"Write clean code, troubleshoot issues, and ensure system performance.",20,"[49, 96, 205, 56, 92]"
167,31,IT Support Specialist,1-3,Provide technical support for IT systems.,"Troubleshoot IT issues, manage networks, and ensure cybersecurity.",64,"[172, 247, 4, 222, 207]"
168,32,Marketing Manager,4-6,Lead marketing campaigns to enhance brand presence.,"Plan campaigns, manage budgets, and analyze results.",47,"[275, 209, 284, 4, 214]"
169,32,Content Strategist,2-4,Develop and oversee content strategies for digital platforms.,"Create content plans, coordinate with teams, and analyze performance.",65,"[241, 284, 98, 4, 292]"
170,33,Data Engineer,3-6,Build and maintain scalable data pipelines.,"Develop ETL processes, optimize databases, and ensure data quality.",66,"[57, 49, 58, 212, 56]"
171,33,Machine Learning Engineer,4-7,Develop and deploy machine learning models.,"Create algorithms, optimize models, and integrate ML systems into applications.",14,"[87, 49, 130, 213, 50]"
172,34,Operations Manager,5-8,Oversee daily operations and ensure organizational efficiency.,"Manage teams, improve workflows, and meet operational targets.",67,"[214, 215, 4, 56, 68]"
173,34,Procurement Specialist,2-4,Manage purchasing and supplier relationships.,"Negotiate contracts, manage supplier database, and track procurement KPIs.",68,"[216, 217, 14, 285, 4]"
174,35,Environmental Consultant,3-5,Advise on environmental projects and compliance.,"Conduct environmental assessments, prepare reports, and recommend solutions.",2,"[98, 4, 219, 150, 14]"
175,35,Policy Analyst,4-6,Analyze and develop public policies to address societal issues.,"Conduct research, draft policy documents, and collaborate with stakeholders.",69,"[220, 98, 4, 54, 221]"
176,36,Product Manager,4-6,Lead product development cycles and manage cross-functional teams.,"Define product roadmaps, coordinate teams, and oversee launches.",70,"[28, 92, 4, 214, 56]"
177,36,UI/UX Designer,3-5,Design intuitive user interfaces and enhance user experiences.,"Create wireframes, prototype interfaces, and collaborate with developers.",19,"[69, 71, 70, 4, 94]"
